/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
147 851.4002016397092 0.003 -6.57 0.0
148 899.6371595090926 0.407 -8.246 0.0
149 33.47785254938588 0.193 -7.136 0.0
150 12.736039052111742 0.473 -1.854 0.0
151 869.8051269561598 0.075 -0.565 0.0
152 70.45310628281379 0.001 -0.636 0.0
153 57.20543764863902 0.335 -5.38 0.0
154 124.33278843704176 0.126 -0.649 0.0
155 860.6103883200794 0.226 0.37 0.0
156 854.7833690201712 0.159 -0.241 0.0
157 392.5872480130106 0.024 -1.684 0.0
158 861.6413243866015 0.212 -0.777 0.0
159 865.7450003783661 0.355 -0.544 0.0
160 874.204963332822 0.059 -0.667 0.0
161 893.9242383240578 0.127 0.521 0.0
162 870.6308800255482 0.1 1.851 0.0
163 889.721954534287 0.07 -0.801 0.0
164 231.9084848878127 0.142 -2.76 0.0
165 16.71969019156778 0.172 0.095 0.0
166 10.638591988917069 0.038 -0.362 0.0
167 70.28854545214264 0.468 -1.011 0.0
168 853.0909746650284 0.094 -1.19 0.0
169 125.38832425875913 0.28 0.164 0.0
170 865.3240773751153 0.362 -5.299 0.0
171 861.2850606593075 0.15 -0.737 0.0
172 877.8233150857379 0.193 -0.176 0.0
173 254.2496377069745 0.044 -0.902 0.0
174 875.8800042420946 0.187 -0.849 0.0
175 210.29883888779645 0.495 -0.123 0.0
176 884.3833228336482 0.102 0.319 0.0
177 880.7771719194739 0.087 -0.363 0.0
178 886.0538452807302 0.669 -1.084 0.0
179 69.022134337743 0.049 -0.55 0.0
180 879.1999764814373 0.19 -0.798 0.0
181 889.7947534881719 0.019 -2.991 0.0
182 119.37075315972493 0.031 -0.544 0.0
183 134.39679532326875 0.056 1.698 0.0
184 882.795862959088 0.033 2.902 0.0
185 869.6673584220002 0.363 1.553 0.0
186 864.0800626936903 0.134 0.059 0.0
187 865.0611122322231 0.467 -0.877 0.0
188 161.0362243993872 0.203 -0.787 0.0
189 888.6447231534275 0.336 -1.481 0.0
190 874.2207640434563 0.327 -7.17 0.0
191 861.1526280933094 0.39 0.147 0.0
192 876.0927896077942 0.208 -1.274 0.0
193 851.6303090862627 0.111 -0.73 0.0
194 876.1384038462543 0.263 -3.08 0.0
195 895.4350152040142 0.699 -0.866 0.0
196 860.789762947423 0.477 1.781 0.0
197 868.784741654418 0.056 -0.654 0.0
198 873.9863708824093 0.002 -1.554 0.0

199 878.6995549332008 0.396 0.151 0.0
200 368.82504555894434 0.062 -1.827 0.0
201 148.62935127263043 0.03 2.709 0.0
202 870.3522754169355 0.083 -0.535 0.0
203 856.8708909950053 0.517 -3.568 0.0
204 860.411391591755 0.435 -1.027 0.0
205 244.6423942448826 0.04 -0.979 0.0
206 890.630402515367 0.089 0.939 0.0
207 863.1244270205473 0.203 3.709 0.0
208 855.016905123435 0.293 -0.933 0.0
209 874.6115342753014 0.094 -1.486 0.0
210 191.93408302021822 0.18 -0.443 0.0
211 875.2820182199812 0.002 -0.146 0.0
212 854.8414130361507 0.104 -1.011 0.0
213 872.029261909989 0.106 -2.012 0.0
214 858.2839315485796 0.019 -1.029 0.0
