/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:251: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
148 501.45811792183474 0.02 -1.447 -0.0 tensor(349.3131)
149 502.1147185091824 0.022 -0.531 -0.0 tensor(348.8003)
150 528.4833311741312 0.019 -2.137 -0.0 tensor(360.2531)
151 542.3590040624343 0.042 -5.238 -0.0 tensor(370.1744)
152 549.5077812010215 0.025 -2.011 -0.0 tensor(372.2403)
153 564.4022257385676 0.024 -24.915 -0.0 tensor(378.8640)
154 564.0472894040064 0.031 -2.857 -0.0 tensor(380.4017)
155 576.8221756676471 0.031 -3.141 -0.0 tensor(386.1336)
156 572.8798349349704 0.024 2.095 0.004 tensor(384.8045)
157 598.7840312627893 0.027 -20.465 0.0 tensor(394.7420)
158 614.3403875130057 0.033 -3.87 -0.0 tensor(402.3844)
159 611.3420076595862 0.039 -34.734 -0.0 tensor(401.5571)
160 617.3463541206243 0.029 -1.99 -0.0 tensor(402.4905)
161 607.3530488785483 0.037 -8.696 -0.0 tensor(398.8899)
162 629.374288316694 0.033 -3.448 -0.0 tensor(410.6843)
163 613.8709133118662 0.022 -9.405 -0.0 tensor(403.6779)
164 619.9762932528563 0.024 -3.228 0.0 tensor(406.2940)
165 602.5634427086472 0.022 -6.337 -0.0 tensor(398.0308)
166 618.0319406617298 0.046 -8.866 -0.0 tensor(403.9951)
167 608.8037124312635 0.034 -8.846 0.0 tensor(401.8619)
168 620.0876356578135 0.027 -2.677 -0.0 tensor(406.6673)
169 615.3058511570727 0.018 -4.76 -0.0 tensor(403.9569)
170 644.1257352038874 0.032 -11.995 -0.0 tensor(416.0456)
171 630.8731395304294 0.027 4.773 -0.0 tensor(411.4697)
172 639.7475854626604 0.024 -19.948 -0.0 tensor(416.2402)
173 600.4443338974949 0.024 5.326 -0.0 tensor(397.9445)
174 588.4244879140888 0.03 -2.889 -0.0 tensor(392.1331)
175 596.232026648102 0.025 -6.709 -0.0 tensor(394.1897)
176 626.5804364204488 0.025 -3.599 -0.0 tensor(407.8833)
177 646.2840834062697 0.03 -1.207 -0.0 tensor(417.0292)
178 647.40185021945 0.028 -15.214 -0.0 tensor(418.9574)
179 663.8178715095058 0.036 -3.238 -0.0 tensor(425.6234)
180 683.30815940108 0.035 -31.025 -0.0 tensor(434.3995)
181 694.1022583512095 0.026 -5.026 -0.0 tensor(438.8939)
182 693.3777351282438 0.026 -17.782 -0.001 tensor(438.6009)
183 655.8792902373766 0.028 4.577 -0.0 tensor(421.5711)
184 678.2924661738723 0.027 -24.261 -0.0 tensor(432.2370)
185 663.0712008544768 0.038 3.939 -0.0 tensor(427.6396)
186 669.5293650975116 0.037 -11.254 -0.0 tensor(430.0136)
187 675.1619092366402 0.033 -4.853 -0.0 tensor(431.8341)
188 684.0413042788557 0.039 -4.194 0.001 tensor(436.1285)
189 687.6975224073731 0.036 -4.922 -0.0 tensor(437.9494)
190 690.2332720655894 0.03 -0.713 -0.0 tensor(439.0972)
191 707.5449634508475 0.045 -24.744 -0.001 tensor(444.8210)
192 718.8637650253137 0.035 -4.391 -0.0 tensor(451.9553)
193 731.7607742981836 0.023 -29.343 -0.0 tensor(454.8957)
194 714.4423446856865 0.036 2.035 -0.0 tensor(450.0620)
195 720.077090261213 0.037 -4.895 0.001 tensor(450.8787)
196 751.4827759560304 0.047 -15.091 -0.0 tensor(462.8330)
197 774.8893097494199 0.028 -6.24 -0.001 tensor(475.0659)
198 774.2829857958426 0.035 -14.901 -0.0 tensor(475.5149)
199 764.4928904652309 0.025 -3.955 0.001 tensor(470.7741)
200 753.7553070914767 0.048 -8.721 -0.0 tensor(466.5635)
201 762.4439504058041 0.04 -6.76 -0.0 tensor(469.5476)
202 802.0629390384163 0.029 -24.913 -0.0 tensor(484.9130)
203 826.243947096603 0.046 -9.758 -0.0 tensor(494.7634)
204 856.0505607610842 0.035 -26.003 -0.0 tensor(504.4388)
205 861.9879006400838 0.048 -8.39 0.0 tensor(508.0112)
206 863.8264148231438 0.046 -5.023 -0.0 tensor(509.1234)
207 831.2133738528033 0.056 -0.158 -0.0 tensor(495.9572)
208 814.0918837258291 0.047 -6.342 -0.0 tensor(489.1610)
209 813.8036292057379 0.056 -11.412 -0.0 tensor(490.5874)
210 810.406790418101 0.039 -4.426 0.003 tensor(487.6725)
211 796.3057996578864 0.024 -10.448 0.0 tensor(483.3284)
212 792.1827306310047 0.022 -8.279 -0.0 tensor(481.4023)
213 807.3624556189857 0.028 -2.873 0.0 tensor(488.1624)
214 774.7105876967827 0.043 -9.941 -0.0 tensor(474.8519)
215 779.7328338547882 0.034 -2.033 -0.0 tensor(476.3961)
216 781.0398682379275 0.037 -9.888 0.0 tensor(477.1659)
217 783.6465007263224 0.03 -8.028 -0.0 tensor(478.5468)
218 795.6322418137362 0.036 -1.318 -0.0 tensor(482.2891)
219 786.1783601312884 0.033 -12.972 -0.0 tensor(478.3579)
220 792.7080148353367 0.041 -7.818 0.0 tensor(480.9060)
221 802.060753941998 0.024 -8.919 -0.0 tensor(484.6201)
222 818.5298679665563 0.038 -2.584 -0.0 tensor(491.5734)
223 807.7642197260448 0.03 -12.329 -0.0 tensor(488.5841)
224 800.0509148892859 0.036 -5.408 -0.0 tensor(486.0145)
225 792.2740917667418 0.035 -3.966 -0.0 tensor(481.5367)
226 834.0178538268187 0.023 -23.556 0.0 tensor(497.9976)
227 849.5502258591914 0.021 -8.254 -0.0 tensor(502.4276)
228 851.8095023700652 0.033 -10.338 -0.001 tensor(503.2581)
229 865.8016029770172 0.019 -9.519 -0.0 tensor(509.1150)
230 897.1145627818282 0.037 -6.515 -0.0 tensor(520.1743)
231 934.5897528733353 0.038 -15.268 -0.0 tensor(531.7148)
232 967.4408008603434 0.046 -7.188 -0.0 tensor(544.1287)
233 954.5691498510087 0.028 -16.448 -0.0 tensor(540.4558)
234 918.7480274286893 0.038 3.287 -0.0 tensor(527.4155)
235 922.0110547279595 0.042 -4.92 -0.0 tensor(529.4368)
236 901.9764893516137 0.021 -6.581 -0.0 tensor(521.7990)
237 866.947326554544 0.037 -8.619 -0.0 tensor(511.3281)
238 859.9332218884915 0.046 -9.399 -0.0 tensor(506.5829)
239 842.801324364126 0.033 -9.764 -0.0 tensor(499.8972)
240 836.1196111694444 0.024 -2.889 -0.0 tensor(497.0495)

241 828.6910322029844 0.025 -6.13 -0.0 tensor(497.1050)
242 795.428195723805 0.027 9.361 -0.0 tensor(482.7751)
243 793.4644109954419 0.025 -7.826 -0.002 tensor(481.2294)
244 829.5525569885131 0.021 -20.56 -0.0 tensor(495.7362)
245 853.8088868671277 0.034 -3.608 -0.0 tensor(503.8367)
246 843.1898591046971 0.026 -11.409 -0.0 tensor(503.7415)
247 830.1381365630994 0.034 -7.344 -0.0 tensor(496.2545)
248 797.1324526886428 0.033 13.725 -0.0 tensor(483.4497)
249 809.9635964473954 0.043 -38.315 -0.0 tensor(488.2407)
250 833.1374438150212 0.044 -1.77 -0.0 tensor(497.0660)
251 839.5262077672098 0.03 -2.132 -0.001 tensor(499.9275)
252 816.5215334529969 0.027 6.422 -0.0 tensor(491.8777)
253 849.545587506502 0.021 -44.652 -0.0 tensor(504.3608)
254 840.1986683165408 0.026 -8.294 -0.0 tensor(499.3258)
255 865.8336510245526 0.032 -2.615 -0.0 tensor(509.4011)
256 873.3298437385656 0.029 -5.654 -0.0 tensor(513.1119)
257 864.3379127393866 0.029 -8.798 -0.0 tensor(508.0699)
258 845.667430955182 0.029 -2.24 -0.0 tensor(501.8979)
259 864.7860083309081 0.028 -22.473 -0.0 tensor(507.1635)
260 871.5011854824069 0.024 -4.639 -0.0 tensor(511.3840)
261 849.1107085067379 0.034 -9.078 -0.0 tensor(501.3112)
262 836.7544187305444 0.026 -7.115 0.0 tensor(498.4922)
263 792.5552872427295 0.029 11.547 -0.0 tensor(481.3752)
264 754.6132397767959 0.026 -11.252 -0.0 tensor(466.8061)
265 770.1195812170613 0.028 -1.203 -0.0 tensor(471.0648)
266 764.2219034604068 0.038 -12.944 -0.0 tensor(468.9319)
267 783.9445506875377 0.035 -2.022 -0.0 tensor(475.6281)
268 817.2598721447761 0.025 -29.533 -0.0 tensor(488.9152)
269 815.7647650956706 0.028 -6.963 0.0 tensor(488.4023)
270 795.2696887349666 0.034 -0.53 -0.003 tensor(479.7301)
271 836.6514360409467 0.031 -34.304 0.0 tensor(497.4869)
272 860.594914112133 0.039 -4.216 0.002 tensor(504.4049)
273 873.7858745672241 0.036 -8.26 0.0 tensor(511.3019)
274 881.1569033380715 0.031 -10.052 -0.0 tensor(514.2061)
275 847.1982306711155 0.035 7.12 -0.0 tensor(501.0134)
276 828.4558646714983 0.045 -5.27 -0.0 tensor(493.8884)

277 809.9359221455438 0.03 -6.796 -0.0 tensor(487.8016)
278 809.5713005921 0.026 -2.446 -0.0 tensor(486.9007)
279 843.6208433625153 0.034 -26.506 -0.0 tensor(499.0527)
280 856.0023330244296 0.037 -3.021 -0.0 tensor(503.5371)
281 855.260834871908 0.029 -9.374 0.005 tensor(504.0021)
282 799.2538167929727 0.026 3.389 0.0 tensor(481.1706)
283 809.2074317657535 0.041 -23.117 -0.0 tensor(486.7195)
284 813.7232445479542 0.038 -10.071 0.0 tensor(488.9442)
285 819.6660902284696 0.034 -1.889 -0.0 tensor(491.1553)
286 821.1996473786493 0.019 -15.24 -0.0 tensor(490.4691)
287 815.8775076211566 0.043 -9.071 -0.0 tensor(488.9828)
288 812.0160689276804 0.033 -5.556 -0.0 tensor(488.0177)
289 839.9913362285481 0.033 -2.578 -0.0 tensor(499.3652)
290 851.7429534657131 0.029 -7.345 -0.0 tensor(502.8774)
291 861.44488830845 0.038 -11.745 -0.0 tensor(506.6852)
292 867.8975272951056 0.032 -9.573 -0.0 tensor(508.6467)
293 872.135205485192 0.038 -9.119 0.0 tensor(510.8027)
294 850.8911341111866 0.037 17.823 -0.0 tensor(502.7367)
295 850.5984157856949 0.029 -35.098 -0.0 tensor(500.8646)
296 855.7144075222145 0.03 -8.501 -0.0 tensor(504.9405)
297 828.2855164032787 0.032 10.753 -0.001 tensor(493.9615)
298 841.7426830263738 0.025 -28.037 -0.0 tensor(497.6848)
299 820.5273231752437 0.037 5.877 -0.0 tensor(491.0988)
300 808.5884943223723 0.032 -5.33 -0.0 tensor(485.3019)
301 811.9199456938197 0.039 -7.041 -0.001 tensor(488.2286)
302 804.8552648113043 0.032 -5.703 -0.0 tensor(484.7037)
303 786.7654427860084 0.022 -9.676 -0.0 tensor(478.7869)
304 790.0158679991362 0.035 -5.314 -0.0 tensor(478.6505)
305 806.6931601080605 0.027 -3.121 -0.0 tensor(484.1484)
306 821.0897973230726 0.036 -4.199 0.003 tensor(490.5474)
307 795.598538062955 0.031 0.185 -0.0 tensor(479.8140)
308 806.6387874034195 0.028 -7.341 -0.0 tensor(483.8239)
309 808.2071247595759 0.03 -6.629 -0.0 tensor(483.8131)
310 800.7487118871056 0.046 0.329 -0.0 tensor(481.2513)
311 798.4055300776015 0.038 -8.047 -0.0 tensor(479.5635)
312 785.9292119208942 0.029 -10.016 -0.0 tensor(475.0940)
313 785.695236154169 0.021 -7.136 -0.0 tensor(474.6794)
314 794.7360563959237 0.016 -11.441 -0.0 tensor(477.8065)
315 780.5640351716208 0.019 -5.804 0.0 tensor(473.2001)
316 779.7298993311119 0.033 -7.25 0.001 tensor(472.1718)
317 782.9157425009205 0.025 -8.889 0.0 tensor(473.1184)
318 793.6155543617938 0.033 -1.878 0.0 tensor(476.4105)
319 784.8014401419356 0.028 -10.095 -0.002 tensor(473.3972)
320 780.7944357859699 0.025 -7.833 -0.0 tensor(471.0882)
321 778.7090789304212 0.026 -4.258 -0.0 tensor(471.1064)
322 761.7831139109583 0.03 -4.734 -0.0 tensor(464.6796)
323 739.4612784351641 0.029 -7.091 -0.0 tensor(454.8799)
324 743.0588337360945 0.024 -1.523 0.0 tensor(456.9898)
325 743.9775180390475 0.019 -11.292 -0.0 tensor(456.5826)
326 752.340088165985 0.025 -7.182 0.0 tensor(460.3453)
327 730.1862661954744 0.023 9.39 -0.0 tensor(450.3087)
328 720.9629811484726 0.034 -8.79 -0.0 tensor(447.1930)
329 728.017104950549 0.025 -7.393 -0.0 tensor(449.9017)
330 716.7562389659118 0.019 -1.179 -0.0 tensor(446.7913)
331 698.5404810950877 0.023 -7.727 -0.0 tensor(436.2159)
332 694.1086787740553 0.023 -6.448 -0.001 tensor(437.5128)
333 699.9794465958844 0.03 -1.762 -0.0 tensor(438.2448)
334 710.0672294932301 0.035 -4.335 -0.0 tensor(443.1138)
335 724.4546181361709 0.021 -1.6 -0.0 tensor(445.3225)
336 750.8832923777555 0.019 -20.02 0.0 tensor(457.4870)
337 757.0248891715858 0.037 -7.332 -0.0 tensor(460.8959)
338 754.6371187286462 0.025 -8.145 0.0 tensor(459.7486)
339 754.810112268545 0.044 -8.877 0.0 tensor(461.0012)
340 774.7967888737546 0.03 -0.245 0.0 tensor(467.3063)
341 782.8855495281077 0.022 -16.742 0.002 tensor(471.2367)
342 785.6618294458145 0.033 -6.479 -0.0 tensor(473.4482)
