/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
162 869.3824580376644 0.461 -0.452 0.0
163 880.8570108041233 0.385 -20.435 0.0
164 861.8065594336267 0.143 1.122 0.0
165 899.570635168509 0.145 -23.378 0.0
166 66.71083164274589 0.296 -1.575 0.0
167 875.5187971958693 0.091 6.285 0.0
168 887.8799874906791 0.022 -18.392 0.0
169 1.5628610758648915 0.561 -0.931 0.0
170 29.062176246879336 0.021 -12.748 0.0
171 880.9420443018419 0.068 -1.978 0.0
172 55.598601758912324 0.51 -6.419 0.0
173 850.2831525319557 0.336 -4.424 0.0
174 887.006707667399 0.041 1.609 0.0
175 859.0570429658219 0.547 -4.089 0.0
176 874.8015897048742 0.399 -1.573 0.0
177 873.4859304059647 0.188 -3.531 0.0
178 880.2018102354747 0.165 1.779 0.0
179 100.3373485001872 0.237 -1.288 0.0
180 111.91287543042134 0.143 -12.429 0.0
181 876.9124481361613 0.152 -2.569 0.0
182 205.82880477787978 0.165 -0.534 0.0
183 839.1560010387823 0.193 -10.663 0.0
184 886.3153824861332 0.027 -0.849 0.0
185 160.78346301300672 0.321 -28.47 0.0
186 879.5256465711499 0.195 -1.51 0.0
187 868.3967889062719 0.127 -0.888 0.0
188 864.5532754335748 0.104 -22.982 0.0
189 861.2005826232257 0.138 6.964 0.0
